Brute-force started at Wed Oct 29 09:47:13 2025
PDF: test.pdf
Attempt,Password,Result,ElapsedSeconds
1,0063,FAIL,0.023
2,0163,FAIL,0.026
3,0263,FAIL,0.027
4,0363,FAIL,0.028
5,0463,FAIL,0.029
6,0563,FAIL,0.030
7,0663,FAIL,0.031
8,0763,FAIL,0.032
9,0863,FAIL,0.033
10,0963,FAIL,0.034
11,1063,FAIL,0.035
12,1163,FAIL,0.035
13,1263,FAIL,0.036
14,1363,FAIL,0.037
15,1463,FAIL,0.038
16,1563,FAIL,0.039
17,1663,FAIL,0.040
18,1763,FAIL,0.041
19,1863,FAIL,0.042
20,1963,FAIL,0.043
21,2063,FAIL,0.044
22,2163,FAIL,0.045
23,2263,FAIL,0.046
24,2363,FAIL,0.047
25,2463,FAIL,0.048
26,2563,FAIL,0.049
27,2663,FAIL,0.050
28,2763,FAIL,0.051
29,2863,FAIL,0.052
30,2963,FAIL,0.052
31,3063,FAIL,0.053
32,3163,PASS,0.054

SUCCESS: Password found: 3163
Total attempts: 32. Time elapsed: 0.055s
